competitor_name,jurisdiction,license_body,license_type,license_number,notes,sources
BetConstruct,Netherlands,Netherlands Gaming Authority,own,,Obtained 2023,betconstruct.com/licenses-and-certificates
BetConstruct,Canada,Tobique First Nation,own,,"First company with dual B2B+B2C license, 2024",betconstruct.com
BetConstruct,Curacao,CGA,own,,,betconstruct.com
Digitain,Malta,MGA,own,MGA/B2B/592/2018,"Primary EU license, issued Jan 2020",digitain.com; mga.org.mt
Digitain,United Kingdom,UKGC,own,,"Obtained Feb 2026; covers Sportsbook, Galaxsys, Imagine Live",gamblinginsider.com
Digitain,Romania,ONJN,own,,Active; office in Romania,digitain.com
Digitain,Greece,Hellenic Gaming Commission,own,,Active,digitain.com
Digitain,Sweden,Spelinspektionen,own,,Active (Galaxsys also separately licensed),digitain.com
Digitain,Isle of Man,IOMGSC,own,,Obtained 2024/2025,digitain.com
Digitain,Bulgaria,,own,,"Manufacturer & Importer licences, March 2026",eegaming.org; sbcnews.co.uk
Digitain,Peru,,own,,Galaxsys certified,digitain.com
Digitain,Belgium,,own,,Via MagicBetting Online,digitain.com
Digitain,Brazil,,own,,Active post-2025 regulation,digitain.com
NuxGame,Curacao,CGA,own,,"Core/default license",nuxgame.com
NuxGame,Romania,ONJN,own,,"Class II B2B license obtained 2025",nuxgame.com; prnewswire.com
NuxGame,Anjouan,AOGA,supported,,"Lower-cost alternative ~$15-25K/year",nuxgame.com
NuxGame,Malta,MGA,supported,,"Supported for operators ~$40-60K/year",nuxgame.com
NuxGame,Isle of Man,IOMGSC,supported,,Supported for operators,nuxgame.com
GamingSoft,Philippines,PAGCOR,supported,,"HQ in Philippines; primary Asian licensing authority",gamingsoft.com
GamingSoft,Curacao,CGA,supported,,"Popular with Asian/emerging-market operators",gamingsoft.com
GamingSoft,Malta,MGA,supported,,For operators targeting European markets,gamingsoft.com
Uplatform,Curacao,CGA,supported,,"Platform designed to be license-agnostic",uplatform.com
Uplatform,Malta,MGA,supported,,Adaptable to jurisdiction requirements,uplatform.com
Uplatform,Anjouan,AOGA,supported,,For emerging market operators,uplatform.com
GammaStack,Malta,MGA,supported,,Licensing consultancy,gammastack.com/gaming-license/
GammaStack,Curacao,CGA,supported,,Licensing consultancy,gammastack.com/gaming-license/
GammaStack,Philippines,PAGCOR,supported,,Active PAGCOR guidance,gammastack.com
GammaStack,United Kingdom,UKGC,supported,,Licensing consultancy,gammastack.com/gaming-license/
GammaStack,Anjouan,AOGA,supported,,Licensing consultancy,gammastack.com/gaming-license/
GammaStack,Kahnawake,KGC,supported,,Licensing consultancy,gammastack.com/gaming-license/
EveryMatrix,Malta,MGA,own,MGA/B2B/201/2011,Primary European license,everymatrix.com/gambling-licences/
EveryMatrix,United Kingdom,UKGC,own,39383,,everymatrix.com/gambling-licences/
EveryMatrix,Denmark,,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,Ireland,,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,Romania,,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,Curacao,CGA,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,South Africa,WCGRB,own,,Secured 2025,intergameonline.com
EveryMatrix,USA - New Jersey,NJDGE,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,USA - Michigan,,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,USA - Connecticut,,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,USA - West Virginia,,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,USA - Pennsylvania,,own,,Licensed,everymatrix.com/gambling-licences/
EveryMatrix,Canada - Ontario,AGCO,own,,Licensed,everymatrix.com/gambling-licences/
ProgressPlay,Malta,MGA,own,MGA/B2C/231/2012,"Issued April 2013",progressplay.com
ProgressPlay,United Kingdom,UKGC,own,39335,"Confirmed on UKGC register; fined GBP1M Aug 2025",gamblingcommission.gov.uk/public-register/business/detail/39335
ProgressPlay,Ireland,Remote Bookmaker's Licence,own,,National Excise Licence Office,progressplay.com
White Hat Gaming,Malta,MGA,own,,"B2B certified; primary European licensing",whitehatgaming.com
White Hat Gaming,United Kingdom,UKGC,own,52894,"Confirmed on UKGC register; GBP1.3M settlement 2021",gamblingcommission.gov.uk/public-register/business/detail/52894
White Hat Gaming,Canada - Ontario,iGO,own,,Canadian regulated market,whitehatgaming.com
White Hat Gaming,USA - New Jersey,,own,,US regulated online gaming,whitehatgaming.com
White Hat Gaming,USA - Pennsylvania,,own,,US regulated online gaming,whitehatgaming.com
White Hat Gaming,Curacao,CGA,own,,Used by some operators,whitehatgaming.com
Pronet Gaming,United Kingdom,UKGC,own,,,pronetgaming.com
Pronet Gaming,Malta,MGA,own,,,pronetgaming.com
Pronet Gaming,Curacao,CGA,own,,,pronetgaming.com
Pronet Gaming,Philippines,PAGCOR,own,,"Via SCBPO/Claymore Solutions, Nov 2025",agbrief.com
Caleta Gaming,Malta,MGA,own,MGA/B2B/1006/2023,"Critical Gaming Supply; issued 01/02/2024",next.io; mga.org.mt
Caleta Gaming,Gibraltar,,own,,B2B authorization,caletagaming.com
Caleta Gaming,Brazil,GLI,own,,"First Brazilian provider with GLI certification",lcb.org; caletagaming.com
Caleta Gaming,Colombia,,own,,Certified and operational,caletagaming.com
Caleta Gaming,Peru,,own,,Certified and operational,caletagaming.com
Caleta Gaming,Bahamas,,own,,Certified and operational,caletagaming.com
