competitor_name,region,countries_active,regional_positioning,regional_messaging,localization_details,key_partnerships,sources
EveryMatrix,North America,"USA (NJ, MI, CT, WV, PA), Canada (Ontario)","Licensed in 5 US states + Ontario","Enterprise-grade US market entry","English; USD, CAD","betOcean, betParx, Delaware North",everymatrix.com
EveryMatrix,LatAm,"Argentina, Brazil, Mexico","Expanding via partnerships","Growth market","Spanish, Portuguese; BRL, ARS","BetWarrior (Argentina); bet365 (Mexico via aggregation)",everymatrix.com
EveryMatrix,Africa,"South Africa","WCGRB licence secured 2025","New market entry","English; ZAR",,intergameonline.com
ProgressPlay,Europe,"UK, Ireland, Malta, Finland","13-year UK/MGA specialist","Partner-Driven Strategic Freedom","English, Finnish; GBP, EUR; 250+ payment methods","FruityKing, BritainBet",progressplay.com; agbrief.com
ProgressPlay,North America,,"Sweepstakes platform targeting US","Dual-Engine Strategy 2026: Standalone + Sweepstakes","English; USD",,progressplay.com; eegaming.org
White Hat Gaming,Europe,"UK, Malta, Gibraltar","Modular PAM with deep UKGC/MGA compliance","Platform Provider of the Year (SBC)","English; GBP, EUR; 150+ currencies",,whitehatgaming.com
White Hat Gaming,North America,"USA (NJ, PA), Canada (Ontario), tribal markets","Strong US tribal market presence; Traveling Wallet","#1 new US provider (EKG Slot Awards)","English; USD","Bally's, Choctaw Nation, Desert Diamond, Gaming Arts",whitehatgaming.com; igamingtoday.com
Pronet Gaming,Europe,"UK, Malta, Bulgaria, Ukraine","London HQ; established 1996","New Global Chapter (ICE 2026)","English; GBP, EUR",,pronetgaming.com; eegaming.org
Pronet Gaming,Asia,"Philippines, Singapore, Thailand, Vietnam, Malaysia","SCBPO Philippines — first B2B company","Aggressive Asia expansion; 15 new SE Asian clients","Asian languages; PHP, THB; local payments","Claymore Solutions (PAGCOR)",agbrief.com
Pronet Gaming,Africa,"South Africa, Nigeria","Johannesburg office; Africa specialist","Emerging market platform","English; ZAR; mobile money",,pronetgaming.com
Pronet Gaming,LatAm,,"Targeting LatAm growth markets","Emerging market platform","Spanish, Portuguese",,pronetgaming.com
Caleta Gaming,LatAm,"Brazil, Colombia, Peru","First Brazilian provider with GLI certification; video bingo niche","Tropicalized content for LatAm players","Portuguese, Spanish; BRL, COP; 160+ currencies","Light & Wonder (global distribution); Stake.bet.br",caletagaming.com; lcb.org
Caleta Gaming,Europe,"Malta, Gibraltar, Spain, Portugal, Italy","MGA B2B licence; expanding into regulated EU","Growing beyond LatAm base","English, Portuguese, Spanish; EUR","EveryMatrix, SoftSwiss, Pariplay, Groove Gaming",caletagaming.com; everymatrix.com
